# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730253166e+01      -5.522795298522e-09      -5.116730264552e+01       0.000000000000e+00      -5.116730264552e+01      -5.116730264552e+01       5.116730264552e+01      -5.116730264552e+01 
       2.321812845909e-05       1.108985076688e+02      -5.978333334732e-08      -1.108985088517e+02       0.000000000000e+00      -1.108985088517e+02      -1.108985088517e+02       1.108985088517e+02      -1.108985088517e+02 
       3.609173376214e-05       1.695112993886e+02      -2.208076715031e-07      -1.695113031408e+02       0.000000000000e+00      -1.695113031408e+02      -1.695113031408e+02       1.695113031408e+02      -1.695113031408e+02 
       4.904439972694e-05       2.276638350538e+02      -5.476119486980e-07      -2.276638463401e+02       0.000000000000e+00      -2.276638463401e+02      -2.276638463401e+02       2.276638463401e+02      -2.276638463401e+02 
       6.211104704304e-05       2.857257216852e+02      -1.102267689424e-06      -2.857257429431e+02       0.000000000000e+00      -2.857257429431e+02      -2.857257429431e+02       2.857257429431e+02      -2.857257429431e+02 
       7.532746857735e-05       3.439710085410e+02      -1.951770006030e-06      -3.439710471971e+02       0.000000000000e+00      -3.439710471971e+02      -3.439710471971e+02       3.439710471971e+02      -3.439710471971e+02 
       8.873064804491e-05       4.026321595649e+02      -3.169975014525e-06      -4.026322238062e+02       0.000000000000e+00      -4.026322238062e+02      -4.026322238062e+02       4.026322238062e+02      -4.026322238062e+02 
       1.023590926816e-04       4.619220098473e+02      -4.839735254580e-06      -4.619221091678e+02       0.000000000000e+00      -4.619221091678e+02      -4.619221091678e+02       4.619221091678e+02      -4.619221091678e+02 
       1.162531841578e-04       5.220449902290e+02      -7.055337091272e-06      -5.220451340330e+02       0.000000000000e+00      -5.220451340330e+02      -5.220451340330e+02       5.220451340330e+02      -5.220451340330e+02 
       1.304555520066e-04       5.832038418454e+02      -9.925346234457e-06      -5.832040425397e+02       0.000000000000e+00      -5.832040425397e+02      -5.832040425397e+02       5.832040425397e+02      -5.832040425397e+02 
       1.450114738457e-04       6.456042383148e+02      -1.357598324818e-05      -6.456045177220e+02       0.000000000000e+00      -6.456045177220e+02      -6.456045177220e+02       6.456045177220e+02      -6.456045177220e+02 
