# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730354058e+01      -5.522795407421e-09      -5.116730365444e+01       0.000000000000e+00      -5.116730365444e+01      -5.116730365444e+01       5.116730365444e+01      -5.116730365444e+01 
       2.321812845909e-05       1.108985105521e+02      -5.978333492531e-08      -1.108985117021e+02       0.000000000000e+00      -1.108985117021e+02      -1.108985117021e+02       1.108985117021e+02      -1.108985117021e+02 
       3.609173376214e-05       1.695113005216e+02      -2.208076729435e-07      -1.695113043054e+02       0.000000000000e+00      -1.695113043054e+02      -1.695113043054e+02       1.695113043054e+02      -1.695113043054e+02 
       4.904439972694e-05       2.276638372155e+02      -5.476119539863e-07      -2.276638484468e+02       0.000000000000e+00      -2.276638484468e+02      -2.276638484468e+02       2.276638484468e+02      -2.276638484468e+02 
       6.211104704304e-05       2.857257227415e+02      -1.102267693512e-06      -2.857257440336e+02       0.000000000000e+00      -2.857257440336e+02      -2.857257440336e+02       2.857257440336e+02      -2.857257440336e+02 
       7.532746857735e-05       3.439710107650e+02      -1.951770016304e-06      -3.439710497375e+02       0.000000000000e+00      -3.439710497375e+02      -3.439710497375e+02       3.439710497375e+02      -3.439710497375e+02 
       8.873064804491e-05       4.026321635952e+02      -3.169975052426e-06      -4.026322273087e+02       0.000000000000e+00      -4.026322273087e+02      -4.026322273087e+02       4.026322273087e+02      -4.026322273087e+02 
       1.023590926816e-04       4.619220144206e+02      -4.839735310997e-06      -4.619221131128e+02       0.000000000000e+00      -4.619221131128e+02      -4.619221131128e+02       4.619221131128e+02      -4.619221131128e+02 
       1.162531841578e-04       5.220449944567e+02      -7.055337165244e-06      -5.220451374081e+02       0.000000000000e+00      -5.220451374081e+02      -5.220451374081e+02       5.220451374081e+02      -5.220451374081e+02 
       1.304555520066e-04       5.832038460545e+02      -9.925346303713e-06      -5.832040470439e+02       0.000000000000e+00      -5.832040470439e+02      -5.832040470439e+02       5.832040470439e+02      -5.832040470439e+02 
       1.450114738457e-04       6.456042436462e+02      -1.357598334854e-05      -6.456045231764e+02       0.000000000000e+00      -6.456045231764e+02      -6.456045231764e+02       6.456045231764e+02      -6.456045231764e+02 
       1.599693066204e-04       7.094583715200e+02      -1.815517647735e-05      -7.094587412123e+02       0.000000000000e+00      -7.094587412123e+02      -7.094587412123e+02       7.094587412123e+02      -7.094587412123e+02 
       1.753809529236e-04       7.749878806131e+02      -2.383746331174e-05      -7.749883692282e+02       0.000000000000e+00      -7.749883692282e+02      -7.749883692282e+02       7.749883692282e+02      -7.749883692282e+02 
       1.913023661048e-04       8.424266502010e+02      -3.082997032377e-05      -8.424272845996e+02       0.000000000000e+00      -8.424272845996e+02      -8.424272845996e+02       8.424272845996e+02      -8.424272845996e+02 
       2.077940972509e-04       9.120233500227e+02      -3.937973227775e-05      -9.120241569942e+02       0.000000000000e+00      -9.120241569942e+02      -9.120241569942e+02       9.120241569942e+02      -9.120241569942e+02 
       2.249218861033e-04       9.840439663410e+02      -4.978269379201e-05      -9.840449856101e+02       0.000000000000e+00      -9.840449856101e+02      -9.840449856101e+02       9.840449856101e+02      -9.840449856101e+02 
       2.427572963948e-04       1.058774351999e+03      -6.239481875558e-05      -1.058775630054e+03       0.000000000000e+00      -1.058775630054e+03      -1.058775630054e+03       1.058775630054e+03      -1.058775630054e+03 
       2.613783937365e-04       1.136522775519e+03      -7.764582814557e-05      -1.136524368408e+03       0.000000000000e+00      -1.136524368408e+03      -1.136524368408e+03       1.136524368408e+03      -1.136524368408e+03 
       2.808704608154e-04       1.217622453306e+03      -9.605621908054e-05      -1.217624425172e+03       0.000000000000e+00      -1.217624425172e+03      -1.217624425172e+03       1.217624425172e+03      -1.217624425172e+03 
       3.013267399410e-04       1.302434060233e+03      -1.182583737883e-04      -1.302436489234e+03       0.000000000000e+00      -1.302436489234e+03      -1.302436489234e+03       1.302436489234e+03      -1.302436489234e+03 
       3.228491865615e-04       1.391348112510e+03      -1.450227468012e-04      -1.391351091478e+03       0.000000000000e+00      -1.391351091478e+03      -1.391351091478e+03       1.391351091478e+03      -1.391351091478e+03 
       3.455492088575e-04       1.484787126133e+03      -1.772903364231e-04      -1.484790768030e+03       0.000000000000e+00      -1.484790768030e+03      -1.484790768030e+03       1.484790768030e+03      -1.484790768030e+03 
       3.695483575494e-04       1.583207376899e+03      -2.162128864285e-04      -1.583211817499e+03       0.000000000000e+00      -1.583211817499e+03      -1.583211817499e+03       1.583211817499e+03      -1.583211817499e+03 
       3.949789163640e-04       1.687100062888e+03      -2.632025297612e-04      -1.687105467745e+03       0.000000000000e+00      -1.687105467745e+03      -1.687105467745e+03       1.687105467745e+03      -1.687105467745e+03 
       4.219843271948e-04       1.796991570305e+03      -3.199928451260e-04      -1.796998139604e+03       0.000000000000e+00      -1.796998139604e+03      -1.796998139604e+03       1.796998139604e+03      -1.796998139604e+03 
       4.507193653101e-04       1.913442518834e+03      -3.887135364129e-04      -1.913450497152e+03       0.000000000000e+00      -1.913450497152e+03      -1.913450497152e+03       1.913450497152e+03      -1.913450497152e+03 
       4.813499602484e-04       2.037045148759e+03      -4.719810877853e-04      -2.037054833691e+03       0.000000000000e+00      -2.037054833691e+03      -2.037054833691e+03       2.037054833691e+03      -2.037054833691e+03 
       5.140525396193e-04       2.168418598311e+03      -5.730077445368e-04      -2.168430352941e+03       0.000000000000e+00      -2.168430352941e+03      -2.168430352941e+03       2.168430352941e+03      -2.168430352941e+03 
       5.490127597170e-04       2.308201560595e+03      -6.957308887997e-04      -2.308215829481e+03       0.000000000000e+00      -2.308215829481e+03      -2.308215829481e+03       2.308215829481e+03      -2.308215829481e+03 
       5.864234841228e-04       2.457041853525e+03      -8.449642140877e-04      -2.457059177304e+03       0.000000000000e+00      -2.457059177304e+03      -2.457059177304e+03       2.457059177304e+03      -2.457059177304e+03 
       6.264818863381e-04       2.615582547536e+03      -1.026570902083e-03      -2.615603588430e+03       0.000000000000e+00      -2.615603588430e+03      -2.615603588430e+03       2.615603588430e+03      -2.615603588430e+03 
       6.693855925968e-04       2.784444457824e+03      -1.247657125726e-03      -2.784470020647e+03       0.000000000000e+00      -2.784470020647e+03      -2.784470020647e+03       2.784470020647e+03      -2.784470020647e+03 
