# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.04233e-05 to 109.219 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.042334792351e-05       5.068143259888e+01      -5.506344159250e-09      -5.068143271307e+01       0.000000000000e+00      -5.068143271307e+01      -5.068143271307e+01       5.068143271307e+01      -5.068143271307e+01 
       2.327947088309e-05       1.097777819501e+02      -5.949228736675e-08      -1.097777830908e+02       0.000000000000e+00      -1.097777830908e+02      -1.097777830908e+02       1.097777830908e+02      -1.097777830908e+02 
       3.618061400446e-05       1.677693034403e+02      -2.196162046509e-07      -1.677693072483e+02       0.000000000000e+00      -1.677693072483e+02      -1.677693072483e+02       1.677693072483e+02      -1.677693072483e+02 
       4.916135487056e-05       2.253072612516e+02      -5.445313612088e-07      -2.253072724635e+02       0.000000000000e+00      -2.253072724635e+02      -2.253072724635e+02       2.253072724635e+02      -2.253072724635e+02 
       6.225684064512e-05       2.827578105796e+02      -1.095945111804e-06      -2.827578319092e+02       0.000000000000e+00      -2.827578319092e+02      -2.827578319092e+02       2.827578319092e+02      -2.827578319092e+02 
       7.550310026773e-05       3.403926738694e+02      -1.940482934726e-06      -3.403927129251e+02       0.000000000000e+00      -3.403927129251e+02      -3.403927129251e+02       3.403927129251e+02      -3.403927129251e+02 
       8.893736659261e-05       3.984424907471e+02      -3.151622932057e-06      -3.984425544080e+02       0.000000000000e+00      -3.984425544080e+02      -3.984425544080e+02       3.984425544080e+02      -3.984425544080e+02 
       1.025984127408e-04       4.571185463646e+02      -4.811829405650e-06      -4.571186449761e+02       0.000000000000e+00      -4.571186449761e+02      -4.571186449761e+02       4.571186449761e+02      -4.571186449761e+02 
       1.165269069676e-04       5.166238837579e+02      -7.014989772567e-06      -5.166240266842e+02       0.000000000000e+00      -5.166240266842e+02      -5.166240266842e+02       5.166240266842e+02      -5.166240266842e+02 
       1.307657903809e-04       5.771599556184e+02      -9.869261010381e-06      -5.771601567642e+02       0.000000000000e+00      -5.771601567642e+02      -5.771601567642e+02       5.771601567642e+02      -5.771601567642e+02 
       1.453606818536e-04       6.389312202398e+02      -1.350044866361e-05      -6.389314998202e+02       0.000000000000e+00      -6.389314998202e+02      -6.389314998202e+02       6.389314998202e+02      -6.389314998202e+02 
       1.603603144133e-04       7.021486865049e+02      -1.805606546746e-05      -7.021490565134e+02       0.000000000000e+00      -7.021490565134e+02      -7.021490565134e+02       7.021490565134e+02      -7.021490565134e+02 
       1.758170072241e-04       7.670328629846e+02      -2.371024363455e-05      -7.670333517725e+02       0.000000000000e+00      -7.670333517725e+02      -7.670333517725e+02       7.670333517725e+02      -7.670333517725e+02 
       1.917871769097e-04       8.338165108362e+02      -3.066973002904e-05      -8.338171457442e+02       0.000000000000e+00      -8.338171457442e+02      -8.338171457442e+02       8.338171457442e+02      -8.338171457442e+02 
       2.083318913285e-04       9.027472005140e+02      -3.918122918241e-05      -9.027480083944e+02       0.000000000000e+00      -9.027480083944e+02      -9.027480083944e+02       9.027480083944e+02      -9.027480083944e+02 
       2.255174678610e-04       9.740898374037e+02      -4.954043862872e-05      -9.740908577269e+02       0.000000000000e+00      -9.740908577269e+02      -9.740908577269e+02       9.740908577269e+02      -9.740908577269e+02 
       2.434161166390e-04       1.048129207802e+03      -6.210320586657e-05      -1.048130487688e+03       0.000000000000e+00      -1.048130487688e+03      -1.048130487688e+03       1.048130487688e+03      -1.048130487688e+03 
       2.621066267378e-04       1.125172525327e+03      -7.729933220204e-05      -1.125174120386e+03       0.000000000000e+00      -1.125174120386e+03      -1.125174120386e+03       1.125174120386e+03      -1.125174120386e+03 
       2.816750898789e-04       1.205551972148e+03      -9.564968317141e-05      -1.205553947441e+03       0.000000000000e+00      -1.205553947441e+03      -1.205553947441e+03       1.205553947441e+03      -1.205553947441e+03 
