# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116729903590e+01      -5.522794921028e-09      -5.116729914813e+01       0.000000000000e+00      -5.116729914813e+01      -5.116729914813e+01       5.116729914813e+01      -5.116729914813e+01 
       2.321812845909e-05       1.108985025499e+02      -5.978333060196e-08      -1.108985036823e+02       0.000000000000e+00      -1.108985036823e+02      -1.108985036823e+02       1.108985036823e+02      -1.108985036823e+02 
       3.609173376214e-05       1.695112847304e+02      -2.208076522893e-07      -1.695112884483e+02       0.000000000000e+00      -1.695112884483e+02      -1.695112884483e+02       1.695112884483e+02      -1.695112884483e+02 
       4.904439972694e-05       2.276638067507e+02      -5.476118803203e-07      -2.276638178209e+02       0.000000000000e+00      -2.276638178209e+02      -2.276638178209e+02       2.276638178209e+02      -2.276638178209e+02 
       6.211104704304e-05       2.857256632217e+02      -1.102267462647e-06      -2.857256841932e+02       0.000000000000e+00      -2.857256841932e+02      -2.857256841932e+02       2.857256841932e+02      -2.857256841932e+02 
       7.532746857735e-05       3.439709033692e+02      -1.951769403664e-06      -3.439709417617e+02       0.000000000000e+00      -3.439709417617e+02      -3.439709417617e+02       3.439709417617e+02      -3.439709417617e+02 
       8.873064804492e-05       4.026319897324e+02      -3.169973676252e-06      -4.026320525172e+02       0.000000000000e+00      -4.026320525172e+02      -4.026320525172e+02       4.026320525172e+02      -4.026320525172e+02 
       1.023590926816e-04       4.619217487832e+02      -4.839732512906e-06      -4.619218460506e+02       0.000000000000e+00      -4.619218460506e+02      -4.619218460506e+02       4.619218460506e+02      -4.619218460506e+02 
       1.162531841578e-04       5.220446072054e+02      -7.055331903599e-06      -5.220447480764e+02       0.000000000000e+00      -5.220447480764e+02      -5.220447480764e+02       5.220447480764e+02      -5.220447480764e+02 
       1.304555520066e-04       5.832033016470e+02      -9.925336989031e-06      -5.832034997240e+02       0.000000000000e+00      -5.832034997240e+02      -5.832034997240e+02       5.832034997240e+02      -5.832034997240e+02 
       1.450114738458e-04       6.456034983794e+02      -1.357596759293e-05      -6.456037739162e+02       0.000000000000e+00      -6.456037739162e+02      -6.456037739162e+02       6.456037739162e+02      -6.456037739162e+02 
       1.599693066204e-04       7.094573745390e+02      -1.815515082806e-05      -7.094577388748e+02       0.000000000000e+00      -7.094577388748e+02      -7.094577388748e+02       7.094577388748e+02      -7.094577388748e+02 
       1.753809529236e-04       7.749865718842e+02      -2.383742284191e-05      -7.749870534935e+02       0.000000000000e+00      -7.749870534935e+02      -7.749870534935e+02       7.749870534935e+02      -7.749870534935e+02 
       1.913023661048e-04       8.424249570743e+02      -3.082990802956e-05      -8.424255824029e+02       0.000000000000e+00      -8.424255824029e+02      -8.424255824029e+02       8.424255824029e+02      -8.424255824029e+02 
       2.077940972509e-04       9.120211862884e+02      -3.937963835134e-05      -9.120219817131e+02       0.000000000000e+00      -9.120219817131e+02      -9.120219817131e+02       9.120219817131e+02      -9.120219817131e+02 
